query_pattern,response_template,context_needed,tone
"what.*iv|implied.*volatility","Bhai, IV market ka fever hai. Abhi {iv}% hai, {ivp_status} lag raha hai. High IV = costly options, soch ke trade kar! 😜 Do your own research!","iv,ivp_status","witty"
"explain.*ivp","IVP tera IV ka report card hai, bhai. Abhi {ivp}%, matlab {ivp_status} compared to past. Strategy adjust kar! 😎 Do your own research!","ivp,ivp_status","witty"
"check.*vix","Bhai, VIX abhi {vix}% pe hai, market ka {vix_status} mood hai. High VIX = volatile, safe khel! 😬 Do your own research!","vix,vix_status","serious"
"what.*nifty.*today","NIFTY {nifty_close:,.2f} pe hai, bhai, {nifty_change:.2f}% move. Regime {regime} hai, strategy soch le! 😎 Do your own research!","nifty_close,nifty_change,regime","witty"
"check.*pcr|put.*call.*ratio","Bhai, PCR {pcr:.2f} hai, {pcr_status} vibe dikha raha. High PCR = bearish, puts zyada hain. Adjust kar! 😜 Do your own research!","pcr,pcr_status","witty"
"what.*fii.*dii.*flow","FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida, bhai. IV {iv}% pe market tense hai. Soch le! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"check.*market.*regime","Bhai, market ka regime abhi {regime}, IV {iv}% pe. {regime} matlab {regime_desc}. Strategy align kar! 😎 Do your own research!","regime,iv,regime_desc","witty"
"what.*market.*buzz","X pe {buzz_topic} ka buzz chal raha hai, bhai. {sentiment}% bullish vibe. IV {iv}% pe plan bana! 😜 Do your own research!","buzz_topic,sentiment,iv","witty"
"check.*volatility.*forecast","Bhai, volatility forecast kehta hai {blended_vol:.2f}% next {forecast_horizon} days. GARCH {garch_vol:.2f}%, XGBoost {xgb_vol:.2f}%. Confidence {confidence_score}% hai! 📈 Do your own research!","blended_vol,garch_vol,xgb_vol,confidence_score,forecast_horizon","witty"
"why.*garch.*high","GARCH {garch_vol:.2f}% high hai, bhai, kyunki market bada move expect kar raha. IV {iv}% bhi spike kiya. Hedge kar! ⚠️ Do your own research!","garch_vol,iv","serious"
"what.*blended.*vol","Blended vol {blended_vol:.2f}% hai, bhai, GARCH aur XGBoost ka mix. Next {forecast_horizon} days ke liye plan bana! 😎 Do your own research!","blended_vol,forecast_horizon","witty"
"why.*straddle.*[0-9]+","Bhai, {strike} straddle recommended coz IV {iv}% high hai, big move ka chance. Breakeven {breakeven}, exposure {exposure}% pe dhyan de! 💪 Do your own research!","iv,breakeven,exposure,strike","witty"
"check.*straddle.*[0-9]+","Bhai, tera {strike} straddle ka breakeven {breakeven}, DTE {dte} days. IV {iv}% aur gamma {gamma} risky hai. Hedge ya exit soch! ⚠️ Do your own research!","breakeven,dte,iv,gamma,strike","serious"
"why.*iron.*condor","Iron condor low-risk hai, bhai, coz market range-bound (IVP {ivp}%). Max loss ₹{Max_Loss:,.0f}, breakeven {breakeven}. Exposure {exposure}% check kar! 😎 Do your own research!","ivp,Max_Loss,breakeven,exposure","witty"
"what.*butterfly.*spread","Butterfly spread tight range ke liye hai, bhai. Call ya put ke teen strikes. IV {iv}% pe low risk, backtest kar! 😜 Do your own research!","iv","witty"
"why.*short.*strangle","Short strangle high IV {iv}% pe premium deta hai, bhai. Risk unlimited, so margin {margin}% pe dhyan de! 😬 Do your own research!","iv,margin","serious"
"suggest.*strategy.*expiry","Expiry week mein IV {iv}% hai, bhai. Iron fly ya strangle khel, par gamma {gamma} high hai. Tight risk rakh! 😎 Do your own research!","iv,gamma","witty"
"what.*calendar.*spread","Calendar spread alag expiry ke options ka khel hai, bhai. IV {iv}% pe premium accha. Backtest aur margin {margin}% check kar! 😜 Do your own research!","iv,margin","witty"
"check.*portfolio.*pnl","Bhai, tera PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% used, loss risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"what.*margin.*call","Margin call tab aata hai jab margin {margin}% se niche jata, bhai. Broker bolega paisa daal ya band kar. Hedge kar! ⚠️ Do your own research!","margin","serious"
"check.*exposure","Bhai, portfolio exposure {exposure}% hai, margin {margin}% used. {exposure}% high hai toh position cut ya hedge kar! 😬 Do your own research!","exposure,margin","serious"
"what.*journal.*score","Journal score tera discipline batata hai, bhai. Abhi {discipline_score}/10, coz {journal_reason}. 7+ ke liye lessons likh! 📝 Do your own research!","discipline_score,journal_reason","witty"
"suggest.*journal.*entry","Bhai, journal mein likh: trade kyun kiya, kya seekha, next kya change karega. Score {discipline_score}/10 hai, improve kar! 😎 Do your own research!","discipline_score","witty"
"check.*last.*journal","Last journal mein tu {journal_reason} likha, bhai. Discipline score {discipline_score}/10. Abhi likh le, nahi to FOMO mein fas jayega! 📝 Do your own research!","journal_reason,discipline_score","serious"
"what.*backtest.*result","Bhai, {strategy} ka backtest win rate {backtest_win_rate:.2f}%, Sharpe ratio {backtest_sharpe:.2f}. Slippage adjust kar, IV {iv}% pe check! 😎 Do your own research!","strategy,backtest_win_rate,backtest_sharpe,iv","witty"
"check.*drawdown","Tera backtest ka max drawdown {max_drawdown}% hai, bhai. Itna loss jhel sakta hai? Strategy {strategy} pe IV {iv}% dekh! ⚠️ Do your own research!","max_drawdown,strategy,iv","serious"
"what.*sharpe.*ratio","Sharpe ratio risk-reward batata hai, bhai. Abhi {backtest_sharpe:.2f}, 1+ ho toh solid. Strategy {strategy} check kar! 😜 Do your own research!","backtest_sharpe,strategy","witty"
"what.*var|value.*at.*risk","VaR worst case loss batata hai, bhai. 1-day VaR ₹{var_absolute:,.2f} at 99% confidence. Hedge kar le! ⚠️ Do your own research!","var_absolute","serious"
"check.*risk.*flags","Bhai, tera {strategy_name} pe risk flags: {Risk_Flags}. High loss ya market event ka risk. Hedge ya wait kar! 😬 Do your own research!","strategy_name,Risk_Flags","serious"
"what.*loss.*risk","Portfolio ka loss risk {loss_risk}% hai, bhai. Exposure {exposure}% aur margin {margin}% pe dhyan de. Hedge kar! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"am.*i.*overtrading","Bhai, {trade_frequency} trades/day aur {revenge_count} revenge trades! {revenge_count} > 2 hai toh chill kar, journal likh! 😬 Do your own research!","trade_frequency,revenge_count","serious"
"check.*fomo","Bhai, last {trade_count} trades mein {bias_count} baar FOMO dikha. IV {iv}% pe calm reh, journal check kar! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"what.*trade.*bias","Tera bias {bias} hai, bhai. Last {trade_count} trades mein {bias_count} baar pattern dikha. Journal likh, sambhal le! 😬 Do your own research!","bias,trade_count,bias_count","serious"
"explain.*delta","Delta tera trade ka direction batata hai, bhai. {delta} matlab price ₹1 move karega toh option {delta} move karega. IV {iv}% pe adjust kar! 😎 Do your own research!","delta,iv","witty"
"what.*gamma","Gamma delta ki speed hai, bhai. Abhi {gamma}, high hai toh risk bhi zyada. IV {iv}% pe careful khel! 😜 Do your own research!","gamma,iv","witty"
"explain.*theta","Theta time ka dushman hai, bhai. Har din premium {theta} ghata deta hai. DTE {dte} days hai, short plays ke liye dhyan de! 😎 Do your own research!","theta,dte","witty"
"what.*vega","Vega IV ka khel hai, bhai. IV 1% badhe toh premium {vega} badhta hai. Abhi IV {iv}%, soch le! 😬 Do your own research!","vega,iv","witty"
"what.*rho","Rho interest rate ka asar hai, bhai. Abhi {rho}, chhota factor par long-term trades mein dhyan de. IV {iv}% hai! 😜 Do your own research!","rho,iv","witty"
"what.*greeks","Greeks tera trade ka GPS hain, bhai. Delta, gamma, theta, vega, rho sab ka khel. Abhi delta {delta}, IV {iv}% hai. Seekh le! 😎 Do your own research!","delta,iv","witty"
"what.*call.*option","Call option stock kharidne ka right deta hai, bhai. Premium de, expiry tak faida le. IV {iv}% pe costly ho sakta hai! 😜 Do your own research!","iv","witty"
"what.*put.*option","Put option bechne ka right deta hai, bhai. Bearish market mein kaam aata hai. IV {iv}% pe check kar! 😎 Do your own research!","iv","witty"
"what.*moneyness","Moneyness strike ka status hai, bhai. ITM = faida, OTM = sasta, ATM = balanced. IV {iv}% pe strategy bana! 😜 Do your own research!","iv","witty"
"what.*breakeven","Breakeven woh price jahan na profit na loss, bhai. Abhi {breakeven} pe hai, IV {iv}% dekh le! 😎 Do your own research!","breakeven,iv","witty"
"suggest.*low.*risk","Bhai, IV {iv}% pe iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel, backtest kar! 😜 Do your own research!","iv,margin","witty"
"what.*hedging","Hedging risk kam karta hai, bhai. Put spread, iron condor ya delta-neutral plays kar. IV {iv}% pe market ka mood dekh! 😎 Do your own research!","iv","witty"
"why.*trade.*failed","Bhai, trade fail ka reason {reason} ho sakta hai. IV {iv}% spike ya gamma {gamma} trap mein fas gaya. Journal likh, seekh le! 😬 Do your own research!","reason,iv,gamma","serious"
"what.*learn.*options","Options seekhna hai, bhai? Greeks se start kar: delta, gamma, theta, vega. IV {iv}% ka role bada hai. Learn tab dekh! 😎 Do your own research!","iv","witty"
"check.*trade.*history","Bhai, last {trade_count} trades mein {win_rate}% win rate. {bias} ka pattern dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,win_rate,bias,iv","serious"
"what.*premium","Premium option ka price hai, bhai. IV {iv}% aur DTE {dte} pe depend karta hai. Check kar le! 😜 Do your own research!","iv,dte","witty"
"what.*strike.*price","Strike price woh level hai jahan option use hota hai, bhai. Call ya put ka base yahi hai. IV {iv}% pe premium dekh! 😎 Do your own research!","iv","witty"
"why.*market.*volatile","Market volatile hai, bhai, kyunki VIX {vix}% pe hai aur IV {iv}% spike kiya. News ya flows check kar! 😬 Do your own research!","vix,iv","serious"
"should.*exit.*trade","Bhai, IV {iv}% aur gamma {gamma} risky hai. Margin {margin}% tight hai. Exit ya hedge kar, jaldi soch! ⚠️ Do your own research!","iv,gamma,margin","serious"
"gamma.*trap.*[0-9]+.*call","Bhai, {strike} call pe gamma {gamma} spike hai. 15%+ loss ka risk. Iron fly ya spread daal ke hedge kar! 😬 Do your own research!","gamma,strike","serious"
"should.*roll.*[0-9]+.*put","{strike} put ka premium accha hai, bhai, IV {iv}%. Roll kar le, par expiry close hai toh jaldi decide kar! 😎 Do your own research!","iv,strike","witty"
"check.*community.*trends","Bhai, {community_hedge}% users hedging kar rahe hain. X pe {buzz_topic} ka buzz hai. IV {iv}% pe plan bana! 😜 Do your own research!","community_hedge,buzz_topic,iv","witty"
"what.*news.*impact","Bhai, news mein {news_headline} ka scene hai. {impact}% chance bearish move ka. IV {iv}% pe adjust kar! 😬 Do your own research!","news_headline,impact,iv","serious"
"am.*i.*chasing.*trades","Bhai, {trade_count} trades mein {bias_count} baar chasing pattern dikha. IV {iv}% pe calm reh, journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"suggest.*beginner.*strategy","Naye ho, bhai? IV {iv}% pe covered call ya cash-secured put try kar. Low risk, par Greeks seekh le! 😜 Do your own research!","iv","witty"
"what.*dte","DTE matlab days to expiry, bhai. Abhi {dte} days bache hain, theta {theta} ka asar dekh le! 😜 Do your own research!","dte,theta","witty"
"why.*revenge.*trade","Bhai, {revenge_count} revenge trades last {trade_count} mein! Loss ka peecha mat kar, journal likh aur IV {iv}% pe soch! 😬 Do your own research!","revenge_count,trade_count,iv","serious"
"what.*risk.*management","Risk management loss ko control karta hai, bhai. Stop-loss, hedge, margin {margin}% ke andar khel. IV {iv}% pe careful reh! 😎 Do your own research!","margin,iv","witty"
